timestamp,experiment_tag,input_len,output_len,num_prompts,max_concurrency,request_rate,duration_s,successful_requests,req_throughput,input_tok_throughput,output_tok_throughput,total_tok_throughput,concurrency,mean_e2e_ms,median_e2e_ms,p90_e2e_ms,p99_e2e_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,max_itl_ms
2026-06-10T11:04:34.295697,pdtp2_i128_o32,128,32,100,32,inf,18.75,100,5.33,327.81,80.02,407.83,27.27,5112.36,5335.10,6569.19,7608.84,4704.87,5000.94,7029.69,28.82,29.65,32.14,29.16,29.44,31.17,32.07,36.99
2026-06-10T11:05:04.188700,pdtp2_i128_o64,128,64,100,32,inf,19.10,100,5.24,321.80,145.58,467.38,26.91,5137.94,5317.53,6559.26,7752.97,4332.54,4586.97,6367.86,30.06,30.46,33.43,30.08,30.39,32.07,33.11,38.49
2026-06-10T11:05:35.071330,pdtp2_i128_o128,128,128,100,32,inf,20.26,100,4.94,303.32,301.49,604.81,26.85,5439.83,5758.09,7384.39,8653.05,3577.93,3401.25,5937.12,30.78,30.96,33.06,31.00,31.01,33.03,34.06,38.68
2026-06-10T11:06:11.776414,pdtp2_i128_o256,128,256,100,32,inf,26.27,100,3.81,233.92,476.13,710.05,26.28,6902.45,6571.24,10353.45,13637.16,2814.32,2551.14,5988.20,33.00,33.53,34.64,32.95,33.26,34.87,36.08,40.78
2026-06-10T11:07:12.345686,pdtp2_i128_o512,128,512,100,32,inf,49.82,100,2.01,123.35,518.30,641.66,26.06,12983.94,12639.17,19649.25,25900.72,4406.69,4023.01,11076.08,33.44,33.67,34.30,33.35,33.51,34.94,36.67,43.11
2026-06-10T11:07:41.501545,pdtp2_i256_o32,256,32,100,32,inf,19.22,100,5.20,672.74,78.05,750.79,28.01,5383.14,5429.59,7068.42,9067.51,4983.26,4946.60,8885.18,27.30,29.64,31.57,28.62,29.52,31.25,32.25,34.07
2026-06-10T11:08:11.645055,pdtp2_i256_o64,256,64,100,32,inf,19.48,100,5.13,663.63,142.69,806.33,27.53,5363.68,5471.22,7005.66,7807.89,4561.43,4818.77,6834.89,29.09,30.36,31.77,29.96,30.29,32.17,34.22,52.07
2026-06-10T11:08:43.803578,pdtp2_i256_o128,256,128,100,32,inf,21.51,100,4.65,601.07,283.96,885.03,26.81,5767.80,5809.67,7931.95,9380.94,3905.41,3843.10,6687.31,30.96,31.11,32.90,31.01,31.05,32.92,34.13,36.13
2026-06-10T11:09:21.286803,pdtp2_i256_o256,256,256,100,32,inf,26.55,100,3.77,486.97,471.11,958.08,26.60,7061.95,6422.88,11071.83,13823.26,2955.45,2598.16,7705.08,33.04,33.73,34.52,33.10,33.38,35.36,37.76,42.12
2026-06-10T11:10:23.574278,pdtp2_i256_o512,256,512,100,32,inf,50.78,100,1.97,254.63,508.51,763.14,25.88,13139.40,12746.82,20174.31,24328.64,4533.30,4240.59,11280.60,33.56,33.83,34.41,33.46,33.65,35.25,36.53,90.72
